Person;Korrespondenz;Kommentierung;Lesen;Kreise;Themen;Score
Johann Georg Heine;.102;.0;.0;1.667;5.882;1.53
 Franz II. / I.;.102;.0;.0;.0;.0;.02
 Ludwig;.102;.0;.0;3.333;2.941;1.275
Carl Ludwig Börne;.102;.0;.0;.0;.0;.02
August Eberhard Müller;.0;.0;.495;.0;.0;.099
Johann Georg Jacob von Ahlefeldt;.051;.0;.0;.0;.0;.01
Wilhelm Christian Müller;.051;.0;.0;.0;.0;.01
Karl Müchler;.051;.0;.0;.0;.0;.01
Johann (Hans) Heinrich Füssli;.051;.0;.0;.0;.0;.01
Gottfried Christoph Härtel;.051;.0;.0;.0;.0;.01
Caroline Henriette Susanne Friederike von Feuchtersleben;.051;.0;.0;3.333;2.941;1.265
Auguste Mayer;.051;.0;.0;.0;.0;.01
Johann Wilhelm Ludwig Gleim;.051;.0;.0;1.667;2.941;.932
Friedrich Wilhelm August Murhard;.051;.0;.0;.0;.0;.01
Friedrich Karl Julius Schütz;.051;.0;.0;.0;.0;.01
Charlotte von Kalb;.051;.0;.0;5.0;5.882;2.187
Joseph Scherer;.051;.0;.0;3.333;2.941;1.265
August Wilhelm von Leipziger;.051;.0;.0;5.0;2.941;1.598
Joseph Charles Mellish of Blyth;.051;.0;.0;.0;.0;.01
Clemens Brentano;.051;.0;.0;.0;.0;.01
Georg August von Breitenbauch;.051;.0;.0;.0;.0;.01
Johann Friedrich Wagner;.051;.0;.0;.0;.0;.01
Johann Friedrich Reichardt;.051;.0;.0;.0;.0;.01
Friederike Wilhelmine Caroline;.051;.0;.0;3.333;2.941;1.265
Johanna Sidonie Dorothea von Dieskau;.051;.0;.0;.0;5.882;1.187
Heinrich Karl Abraham Eichstädt;.051;.0;.0;.0;.0;.01
Anna Henriette (Nanette) Gentz;.051;.0;.0;5.0;2.941;1.598
Karl Barth;.051;.0;.0;.0;.0;.01
Wilhelmine von Müffling;.051;.0;.0;1.667;2.941;.932
Engel Christine Westphalen;.051;.0;.0;5.0;2.941;1.598
Therese Lentz;.051;.0;.0;3.333;2.941;1.265
Friedrich Christian August Schwendler;.051;.0;.0;3.333;5.882;1.853
Carl Ludwig Fernow;.051;.0;.0;5.0;2.941;1.598
Johann Friedrich Kind;.051;.0;.0;.0;.0;.01
Ludwig Achim von Arnim;.051;.0;.0;.0;.0;.01
Elisabeth Charlotte Karoline  Falk;.051;.0;.0;.0;.0;.01
 Carl August;.051;.0;.0;1.667;5.882;1.52
Louise Henriette Könitz;.051;.0;.0;.0;.0;.01
Bernhard August von Lindenau;.051;.0;.0;3.333;2.941;1.265
 Friedrich Wilhelm III.;.051;.0;.0;1.667;2.941;.932
Lukrezia von Mann;.051;.0;.0;3.333;2.941;1.265
Ernestine von Meusebach;.051;.0;.0;.0;.0;.01
Johann Jakob Griesbach;.051;.0;.0;3.333;2.941;1.265
Ludwig Christian von Oertel;.051;.0;.0;3.333;2.941;1.265
Friedrich Ferdinand Hempel;.051;.0;.0;.0;.0;.01
Abraham Sophus Voß;.051;.0;.0;.0;.0;.01
Friedrich Wilken;.051;.0;.0;1.667;5.882;1.52
Marie Ulrike Wilhelmine Levezow;.051;.0;.0;5.0;2.941;1.598
Elise (Elisabeth) Wagner;.0;.0;.495;.0;.0;.099
Rahel Levin;.051;.0;.0;.0;.0;.01
Friedrich Freiherr de la Motte Fouqué;.051;.0;.0;.0;.0;.01
Auguste Ritter;.051;.0;.0;.0;.0;.01
Susanne Sophie von Herder;.051;.0;.0;.0;.0;.01
Henriette Luise Eleonore von Schubaert;.051;.0;.0;.0;.0;.01
Johann Georg Friedrich Messerschmidt;.051;.0;.0;.0;.0;.01
Marie von Schubaert;.051;.0;.0;.0;.0;.01
Sophie Paulus;.051;.0;.0;.0;.0;.01
Johann Andreas Uthe;.051;.0;.0;.0;.0;.01
Sara Boie;.051;.0;.0;.0;.0;.01
Gerson Adersbach;.051;.0;.0;1.667;2.941;.932
Johann (Hans) Carl Moritz Freiherr von Thüngen;.051;.0;.0;.0;.0;.01
Carl Borromäus von Miltitz;.051;.0;.0;3.333;2.941;1.265
Wilhelmine Doerffer;.051;.0;.0;3.333;2.941;1.265
Luise von Welden;.051;.0;.0;.0;.0;.01
Auguste Oertel;.051;.0;.0;1.667;2.941;.932
Luise von Herder;.051;.0;.0;1.667;2.941;.932
Auguste Caroline Wilhelmine Louise von Giech;.051;.0;.0;3.333;5.882;1.853
Johann Heinrich Christoph Holzschuher;.051;.0;.0;1.667;2.941;.932
Minona Laura Abeken;.051;.0;.0;.0;.0;.01
Therese Apollonia Mayer;.051;.0;.0;1.667;2.941;.932
Luise Förster;.051;.0;.0;.0;.0;.01
Franziska (Fanny) von Welden;.051;.0;.0;.0;.0;.01
Karoline Wilhelmine von Giech-Schönburg;.051;.0;.0;1.667;2.941;.932
Elisa von der Recke;.051;.0;.0;5.0;2.941;1.598
Eduard Pohl;.051;.0;.0;1.667;2.941;.932
Heinrich Doering;.051;.0;.0;3.333;2.941;1.265
Johann Wilhelm Christoph Hennings;.051;.0;.0;1.667;2.941;.932
Anna Christiane Charlotte von Stein;.051;.0;.0;1.667;2.941;.932
Johann Friedrich von (gen. Imo) Meyer;.051;.0;.0;1.667;2.941;.932
Detlev Graf von Einsiedel;.051;.0;.0;.0;.0;.01
 Friedrich August I.;.051;.0;.0;.0;.0;.01
Johann Gottlieb Eduard von Stainlein;.051;.0;.0;3.333;2.941;1.265
Georg Ludwig Friedrich Wilhelm Graf von Münster;.051;.0;.0;.0;.0;.01
Elisabeth Cotta von Cottendorf;.051;.0;.0;.0;.0;.01
Georg Christoph Degen;.051;.0;.0;1.667;2.941;.932
Johann Adam Walther;.051;.0;.0;.0;.0;.01
Josef Graf Sedlnitzky von Choltitz;.051;.0;.0;.0;.0;.01
Adolph Müllner;.051;.0;.0;3.333;2.941;1.265
